microbe,disease,effect,pmid,evidence,SCD,evidence_record_count
Bacteroidetes,Irritable bowel syndrome,decrease,21820992; 22180058,2-fold decrease in numbers in IBS patients compared to controls || Depletion of Bacteroidetes-related taxa was observed in a subset of IBS patients,,2
Bifidobacterium,Irritable bowel syndrome,decrease,21820992; 25784074,1.5-fold decrease in numbers in IBS patients compared to controls || Lower 16S rRNA copy number in IBS patients compared to healthy controls,,2
Faecalibacterium,Irritable bowel syndrome,decrease,21820992; 29777439,1.5-fold decrease in numbers in IBS patients compared to controls || The relative proportions of Faecalibacterium genus were found to be lower in IBS-D patients compared to healthy controls,,2
methanogens,Irritable bowel syndrome,decrease,21820992,4-fold lower average number in IBS patients compared to controls when present,,1
Bacteroides fragilis,colorectal cancer,increase,21850056; 23497613; 26170900; 26408641; 26515465; 29214046; 29985435; 29995183; 31035942; 31488085; 32021305,"Enriched in the gut microbiota of CRC patients || Reported to be related to a high-risk of CRC across several populations || Identified as a cancer-associated bacterial taxon with a proposed mechanism of interaction with colon cancer || May promote colorectal carcinogenesis || Bacteroides fragilis is a representative member of metacommunity A associated with colorectal cancer || Enriched in CRC tissues with capacity for tumorigenesis || Bacteroides fragilis has been correlated with CRC carcinogenesis || Higher abundances associated with increased risk of adverse outcomes for CRC || Enrichment in tumor tissue and fecal material of CRC patients || Higher frequency of B. fragilis and bft gene in CRC patients compared to healthy controls, with significant association in stage III CRC || Directly promotes the progression of CRC","Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients || Fusobacterium nucleatum's FadA protein can signal epithelial cells via E-cadherin, a component of the WNT/β-catenin signaling pathway, which is the most commonly mutated pathway in colorectal cancer || Fusobacterium nucleatum potentiates intestinal tumorigenesis through recruitment of infiltrating immune cells and by modulating β-catenin signalling || Gut commensals and their metabolites, such as butyrate and hydrogen sulphide, are known for triggering inflammatory cascades and oncogenic signalling, promoting genetic and epigenetic alterations in the development of colorectal cancer || Short chain fatty acids and butyrate producing bacteria such as Anaerostipes species and Butyrivibrio species suppress inflammation and inhibit neoplastic changes while other bacterial metabolites such as secondary bile acids can induce inflammation, cause DNA damage, and enhance carcinogenesis || Bacteroides fragilis toxin (BFT) induces IL-8 secretion and IL-17-dependent inflammation, triggers β-catenin nuclear signaling, and causes oxidative DNA damage, contributing to colorectal cancer progression || Bacterial metabolites such as butyrate and short-chain fatty acids may reduce the risk of CRC",11
Bacteroides vulgatus,colorectal cancer,decrease,21850056,Enriched in the gut microbiota of healthy volunteers,Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients,1
Bacteroides uniformis,colorectal cancer,decrease,21850056,Enriched in the gut microbiota of healthy volunteers,Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients,1
Enterococcus,colorectal cancer,increase,21850056; 31358825; 31609493,Significantly more abundant in the gut microbiota of CRC patients || Higher abundance in all CRC faecal microbiota || Higher relative abundance in invasive CRC,Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients || Fusobacterium nucleatum may stimulate inflammatory mediators in colorectal cancer progression,3
Escherichia/Shigella,colorectal cancer,increase,21850056,Significantly more abundant in the gut microbiota of CRC patients,Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients,1
Klebsiella,colorectal cancer,increase,21850056,Significantly more abundant in the gut microbiota of CRC patients,Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients,1
Streptococcus,colorectal cancer,increase,21850056; 28600626; 28988196,Significantly more abundant in the gut microbiota of CRC patients || Streptococcus has been associated with an increased risk of CRC || Differentially abundant in CRC compared with controls,Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients || Lipopolysaccharide biosynthesis-associated microbial genes were enriched in tumor tissues,3
Peptostreptococcus,colorectal cancer,increase,21850056; 22761885; 28988196,"Significantly more abundant in the gut microbiota of CRC patients || Enriched in mucosa-adherent microbiota || Core networks between pathogenic, CRC-associated oral bacteria detected in CRC",Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients,3
Roseburia,colorectal cancer,decrease,21850056; 23733170; 28951525; 30841970,"Less abundant in the gut microbiota of CRC patients || Roseburia was significantly less abundant in CRC patients || Omega-3 PUFA supplementation increases Roseburia, a SCFA-producing genus associated with anti-CRC effects || Genus Roseburia was notably decreased by AuNCs at 7 d","Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients || Omega-3 PUFA supplementation is associated with prolonged suppression of proinflammatory arachidonic acid levels, which may contribute to anti-CRC effects",4
Lachnospiraceae,colorectal cancer,decrease,21850056; 28988196; 30231491; 32370168,"Less abundant in the gut microbiota of CRC patients || High abundance was negatively associated with the colonisation of colonic tissue with oral-like bacterial networks, suggesting a protective role || Decreased in Muc2 deficient mice and associated with colitis and colorectal carcinogenesis || Reduced in CRC patients' feces","Reduction of butyrate producers and increase of opportunistic pathogens may constitute a major structural imbalance of gut microbiota in CRC patients || Inflammatory cytokines (COX-2, IL-6, TNF-α, IL-1β, IKKβ) were significantly increased in colonic epithelial cells of Muc2 deficient mice, contributing to chronic colitis and colorectal carcinogenesis.",4
Bacteroides,Crohns disease,increase,21910165,Elevated mucosal bacteroides in CD patients,"IL-6 production by intestinal DC is increased in CD and correlates with disease activity and CRP. IL-12p40+ DC correlated with ratio of bacteroides:bifidobacteria. IL-10+ DC correlated with bifidobacteria, and IL-6+ DC correlated negatively with F. prausnitzii.",1
Bifidobacteria,Crohns disease,decrease,21910165; 27083382,Reduced bifidobacteria in CD patients || Decreased proportion in CD patients compared to healthy controls,"IL-6 production by intestinal DC is increased in CD and correlates with disease activity and CRP. IL-12p40+ DC correlated with ratio of bacteroides:bifidobacteria. IL-10+ DC correlated with bifidobacteria, and IL-6+ DC correlated negatively with F. prausnitzii. || TNF-α inhibitor application significantly influences bacterial communities in CD patients",2
Enterobacteria,Crohns disease,increase,21910165,Elevated mucosal enterobacteria in CD patients,"IL-6 production by intestinal DC is increased in CD and correlates with disease activity and CRP. IL-12p40+ DC correlated with ratio of bacteroides:bifidobacteria. IL-10+ DC correlated with bifidobacteria, and IL-6+ DC correlated negatively with F. prausnitzii.",1
Firmicutes,obesity,decrease,21933985,Prebiotic feeding decreased Firmicutes phyla in obese mice,Prebiotics improve gut barrier function and alleviate inflammation and insulin resistance by increasing the release of gut hormones such as glucagon-like peptide 1 and 2 (GLP-1 and GLP-2) and by modulating the endocannabinoid system. Obesity-associated low-grade inflammation may be related to the gut microbiota by mechanisms involving bacterially derived lipopolysaccharide (LPS).,1
Bacteroidetes,obesity,increase,21933985; 26962054; 30984260,Prebiotic feeding increased Bacteroidetes phyla in obese mice || Proportions of Bacteroidetes shifted with Pb exposure and were associated with increased bodyweight in males || High abundance in microbiota composition reflects the state of metabolic disorders in ob/ob and db/db mice,"Prebiotics improve gut barrier function and alleviate inflammation and insulin resistance by increasing the release of gut hormones such as glucagon-like peptide 1 and 2 (GLP-1 and GLP-2) and by modulating the endocannabinoid system. Obesity-associated low-grade inflammation may be related to the gut microbiota by mechanisms involving bacterially derived lipopolysaccharide (LPS). || High-fat diet changes microbiota composition and increases intestinal permeability, leading to more LPS release which initiates TLR4 signaling and inflammatory response, contributing to obesity and T2D",3
